   1 C         2 N        3 C       11 H    
   1 C         2 N        3 C       12 H    
   1 C         2 N        3 C       13 H    
   1 C         2 N        4 C       14 H    
   1 C         2 N        4 C       15 H    
   1 C         2 N        4 C       16 H    
   1 C         2 N        5 C        6 C    
   1 C         2 N        5 C       17 H    
   1 C         2 N        5 C       18 H    
   2 N         5 C        6 C        7 O    
   2 N         5 C        6 C       19 H    
   2 N         5 C        6 C       20 H    
   5 C         6 C        7 O       21 H    
