   1 C         2 C        3 C        4 C    
   1 C         2 C        3 C       14 H    
   1 C         2 C        3 C       15 H    
   2 C         3 C        4 C        5 C    
   2 C         3 C        4 C       16 H    
   2 C         3 C        4 C       17 H    
   3 C         4 C        5 C        6 C    
   3 C         4 C        5 C       18 H    
   3 C         4 C        5 C       19 H    
   4 C         5 C        6 C        7 O    
   4 C         5 C        6 C        8 O    
   5 C         6 C        7 O       20 H    
