   1 C         2 C        3 C        4 C    
   1 C         2 C        3 C       39 H    
   1 C         2 C        3 C       40 H    
   2 C         3 C        4 C        5 C    
   2 C         3 C        4 C       41 H    
   2 C         3 C        4 C       42 H    
   3 C         4 C        5 C        6 C    
   3 C         4 C        5 C       43 H    
   3 C         4 C        5 C       44 H    
   4 C         5 C        6 C        7 C    
   4 C         5 C        6 C       45 H    
   4 C         5 C        6 C       46 H    
   5 C         6 C        7 C        8 C    
   5 C         6 C        7 C       47 H    
   5 C         6 C        7 C       48 H    
   6 C         7 C        8 C        9 N    
   6 C         7 C        8 C       49 H    
   6 C         7 C        8 C       50 H    
   7 C         8 C        9 N       10 C    
   7 C         8 C        9 N       18 C    
   7 C         8 C        9 N       26 C    
   8 C         9 N       10 C       11 C    
   8 C         9 N       10 C       51 H    
   8 C         9 N       10 C       52 H    
   8 C         9 N       18 C       19 C    
   8 C         9 N       18 C       68 H    
   8 C         9 N       18 C       69 H    
   8 C         9 N       26 C       27 C    
   8 C         9 N       26 C       85 H    
   8 C         9 N       26 C       86 H    
   9 N        10 C       11 C       12 C    
   9 N        10 C       11 C       53 H    
   9 N        10 C       11 C       54 H    
   9 N        18 C       19 C       20 C    
   9 N        18 C       19 C       70 H    
   9 N        18 C       19 C       71 H    
   9 N        26 C       27 C       28 C    
   9 N        26 C       27 C       87 H    
   9 N        26 C       27 C       88 H    
  10 C        11 C       12 C       13 C    
  10 C        11 C       12 C       55 H    
  10 C        11 C       12 C       56 H    
  11 C        12 C       13 C       14 C    
  11 C        12 C       13 C       57 H    
  11 C        12 C       13 C       58 H    
  12 C        13 C       14 C       15 C    
  12 C        13 C       14 C       59 H    
  12 C        13 C       14 C       60 H    
  13 C        14 C       15 C       16 C    
  13 C        14 C       15 C       61 H    
  13 C        14 C       15 C       62 H    
  14 C        15 C       16 C       17 C    
  14 C        15 C       16 C       63 H    
  14 C        15 C       16 C       64 H    
  15 C        16 C       17 C       65 H    
  15 C        16 C       17 C       66 H    
  15 C        16 C       17 C       67 H    
  18 C        19 C       20 C       21 C    
  18 C        19 C       20 C       72 H    
  18 C        19 C       20 C       73 H    
  19 C        20 C       21 C       22 C    
  19 C        20 C       21 C       74 H    
  19 C        20 C       21 C       75 H    
  20 C        21 C       22 C       23 C    
  20 C        21 C       22 C       76 H    
  20 C        21 C       22 C       77 H    
  21 C        22 C       23 C       24 C    
  21 C        22 C       23 C       78 H    
  21 C        22 C       23 C       79 H    
  22 C        23 C       24 C       25 C    
  22 C        23 C       24 C       80 H    
  22 C        23 C       24 C       81 H    
  23 C        24 C       25 C       82 H    
  23 C        24 C       25 C       83 H    
  23 C        24 C       25 C       84 H    
  26 C        27 C       28 C       29 C    
  26 C        27 C       28 C       89 H    
  26 C        27 C       28 C       90 H    
  27 C        28 C       29 C       30 C    
  27 C        28 C       29 C       91 H    
  27 C        28 C       29 C       92 H    
  28 C        29 C       30 C       31 C    
  28 C        29 C       30 C       93 H    
  28 C        29 C       30 C       94 H    
  29 C        30 C       31 C       32 C    
  29 C        30 C       31 C       95 H    
  29 C        30 C       31 C       96 H    
  30 C        31 C       32 C       33 C    
  30 C        31 C       32 C       97 H    
  30 C        31 C       32 C       98 H    
  31 C        32 C       33 C       99 H    
  31 C        32 C       33 C      100 H    
  31 C        32 C       33 C      101 H    
